embed,epoch,batch,learning_rate,dropout,recurrent_dropout,loss,accuracy,test_mae,tain_mae,train_mae
4000,30,25,0.1,0.5,0.5,25.104244232177734,0.01593625545501709,0.002792778192088008,,0.001248605316504836
5000,30,25,0.1,0.5,0.5,28.6746826171875,0.027888447046279907,0.0027607285883277655,,0.001245236024260521
500,15,50,0.1,0.5,0.5,8.08514404296875,0.009960159659385681,0.0028021696489304304,,0.0022819945588707924
1000,15,50,0.1,0.5,0.5,9.357317924499512,0.0039840638637542725,0.0028212142642587423,,0.002081847283989191
2000,15,50,0.1,0.5,0.5,10.061483383178711,0.01593625545501709,0.0028001044411212206,,0.0018520195735618472
3000,15,50,0.1,0.5,0.5,10.020421028137207,0.009960159659385681,0.0028044742066413164,,0.001843361184000969
4000,15,50,0.1,0.5,0.5,13.584283828735352,0.007968127727508545,0.0028161578811705112,,0.0018701535882428288
5000,15,50,0.1,0.5,0.5,17.86002540588379,0.009960159659385681,0.00280841370113194,,0.0016879666363820434
500,30,50,0.1,0.5,0.5,10.497634887695312,0.011952191591262817,0.002800356363877654,,0.001605129917152226
1000,30,50,0.1,0.5,0.5,10.577043533325195,0.019920319318771362,0.002782683353871107,,0.0014390391297638416
2000,30,50,0.1,0.5,0.5,17.73870849609375,0.017928287386894226,0.00278836558572948,,0.0013545878464356065
3000,30,50,0.1,0.5,0.5,21.59290313720703,0.01593625545501709,0.0027938620187342167,,0.0013447942910715938
4000,30,50,0.1,0.5,0.5,20.21732521057129,0.019920319318771362,0.0027793380431830883,,0.0013058915501460433
5000,30,50,0.1,0.5,0.5,20.662992477416992,0.011952191591262817,0.0028019489254802465,,0.0011876194039359689
500,15,25,0.01,0.5,0.5,7.616036891937256,0.06972111761569977,0.0026689553633332253,,5.091741695650853e-05
1000,15,25,0.01,0.5,0.5,7.522758960723877,0.0717131495475769,0.0026618517003953457,,4.9598238547332585e-05
2000,15,25,0.01,0.5,0.5,8.504057884216309,0.0657370537519455,0.0026835203170776367,,5.1347858970984817e-05
3000,15,25,0.01,0.5,0.5,8.081681251525879,0.06374502182006836,0.002681706566363573,,5.29803910467308e-05
4000,15,25,0.01,0.5,0.5,8.034220695495605,0.06175298988819122,0.0026898346841335297,,5.301740748109296e-05
5000,15,25,0.01,0.5,0.5,8.539871215820312,0.05976095795631409,0.0026943038683384657,,5.467728624353185e-05
500,30,25,0.01,0.5,0.5,8.32957935333252,0.05976095795631409,0.002667089691385627,,4.926689507556148e-05
1000,30,25,0.01,0.5,0.5,8.515364646911621,0.0657370537519455,0.002660237718373537,,5.0469592679291964e-05
2000,30,25,0.01,0.5,0.5,8.08059310913086,0.06772908568382263,0.0026654740795493126,,5.120586865814403e-05
3000,30,25,0.01,0.5,0.5,8.422717094421387,0.0657370537519455,0.002681572223082185,,5.0213129725307226e-05
4000,30,25,0.01,0.5,0.5,8.576589584350586,0.05776892602443695,0.002689257264137268,,5.261341721052304e-05
5000,30,25,0.01,0.5,0.5,8.16990852355957,0.05776892602443695,0.002694560680538416,,5.37994310434442e-05
500,15,50,0.01,0.5,0.5,7.508612155914307,0.0717131495475769,0.0026579867117106915,,5.034185596741736e-05
1000,15,50,0.01,0.5,0.5,7.293392658233643,0.06972111761569977,0.0026613229420036077,,5.142790905665606e-05
2000,15,50,0.01,0.5,0.5,7.4009294509887695,0.06772908568382263,0.0026649332139641047,,5.2509134548017755e-05
3000,15,50,0.01,0.5,0.5,7.3886919021606445,0.06374502182006836,0.0026729495730251074,,5.2438095735851675e-05
4000,15,50,0.01,0.5,0.5,7.313050270080566,0.07370518147945404,0.002660206286236644,,5.2836319810012355e-05
5000,15,50,0.01,0.5,0.5,7.71729040145874,0.0657370537519455,0.0026723637711256742,,5.408625293057412e-05
500,30,50,0.01,0.5,0.5,7.855373859405518,0.05976095795631409,0.0026735197752714157,,5.099177360534668e-05
1000,30,50,0.01,0.5,0.5,7.404062747955322,0.0657370537519455,0.002659529447555542,,4.932243609800935e-05
2000,30,50,0.01,0.5,0.5,7.666545391082764,0.07768924534320831,0.0026448944117873907,,5.100221460452303e-05
3000,30,50,0.01,0.5,0.5,7.456778526306152,0.0717131495475769,0.002655395772308111,,5.043306009611115e-05
4000,30,50,0.01,0.5,0.5,7.353157043457031,0.06972111761569977,0.0026593178045004606,,5.044353747507557e-05
5000,30,50,0.01,0.5,0.5,7.633157253265381,0.06972111761569977,0.0026462306268513203,,5.089350088383071e-05
500,15,25,0.001,0.5,0.5,6.543222904205322,0.06374502182006836,0.002705794293433428,,0.0002945041924249381
1000,15,25,0.001,0.5,0.5,6.5573811531066895,0.06772908568382263,0.002696804003790021,,0.00015683525998611003
2000,15,25,0.001,0.5,0.5,6.558028221130371,0.06374502182006836,0.00268740626052022,,0.00012039079592796043
3000,15,25,0.001,0.5,0.5,6.4848737716674805,0.05976095795631409,0.002691252389922738,,0.00010991145245498046
4000,15,25,0.001,0.5,0.5,6.356127738952637,0.0657370537519455,0.002682397374883294,,0.00010375333658885211
5000,15,25,0.001,0.5,0.5,6.429102897644043,0.06175298988819122,0.0026890214066952467,,9.973298438126221e-05
500,30,25,0.001,0.5,0.5,6.666744232177734,0.06972111761569977,0.0026643238961696625,,7.344169716816396e-05
1000,30,25,0.001,0.5,0.5,6.6283392906188965,0.06772908568382263,0.002665357431396842,,6.660437793470919e-05
2000,30,25,0.001,0.5,0.5,6.430968284606934,0.06972111761569977,0.0026640950236469507,,6.38276687823236e-05
